order,Sample_id,Sex,Species,Age,Tissue,Col,Pch
1,Dog_P2,m,dog,old,pancreas,#41b6c4,16
2,Dog_P4,f,dog,adult,pancreas,#41b6c4,16
3,Dog_P9,f,dog,old,pancreas,#41b6c4,16
4,Dog_P10,m,dog,old,pancreas,#41b6c4,16
5,Dog_P11,f,dog,old,pancreas,#41b6c4,16
6,Dog_P12,f,dog,old,pancreas,#41b6c4,16
7,Dog_P13,m,dog,adult,pancreas,#41b6c4,16
8,Dog_P14,m,dog,adult,pancreas,#41b6c4,16
9,Dog_P18,f,dog,old,pancreas,#41b6c4,16
10,Dog_P20,m,dog,adult,pancreas,#41b6c4,16
11,Wolf_P1,f,wolf,adult,pancreas,#a1dab4,16
12,Wolf_P2,m,wolf,adult,pancreas,#a1dab4,16
13,Wolf_P3,m,wolf,adult,pancreas,#a1dab4,16
14,Wolf_P4,m,wolf,adult,pancreas,#a1dab4,16
15,Wolf_P8,m,wolf,adult,pancreas,#a1dab4,16
16,Wolf_P10,m,wolf,adult,pancreas,#a1dab4,16
17,Wolf_P11,f,wolf,old,pancreas,#a1dab4,16
18,Wolf_P15,f,wolf,adult,pancreas,#a1dab4,16
19,Dog_M10,m,dog,old,muscle,#41b6c4,17
20,Dog_M2,m,dog,adult,muscle,#41b6c4,17
21,Dog_M3,m,dog,adult,muscle,#41b6c4,17
22,Dog_MT2,f,dog,adult,muscle,#41b6c4,17
23,Dog_MT3,m,dog,adult,muscle,#41b6c4,17
24,Dog_MT4,f,dog,old,muscle,#41b6c4,17
25,Dog_MT5,f,dog,old,muscle,#41b6c4,17
26,Dog_MT6,m,dog,adult,muscle,#41b6c4,17
27,Dog_MT8,f,dog,old,muscle,#41b6c4,17
28,Dog_MT9,f,dog,old,muscle,#41b6c4,17
29,Wolf_M2,m,wolf,adult,muscle,#a1dab4,17
30,Wolf_M3,m,wolf,adult,muscle,#a1dab4,17
31,Wolf_M5,f,wolf,old,muscle,#a1dab4,17
32,Wolf_MT1,f,wolf,old,muscle,#a1dab4,17
33,Wolf_MT2,f,wolf,adult,muscle,#a1dab4,17
34,Wolf_MT3,f,wolf,adult,muscle,#a1dab4,17
35,Wolf_MT4,m,wolf,adult,muscle,#a1dab4,17
36,Wolf_MT5,m,wolf,adult,muscle,#a1dab4,17
37,Wolf_MT6,f,wolf,adult,muscle,#a1dab4,17
38,Wolf_MT7,m,wolf,adult,muscle,#a1dab4,17
39,Wolf_M6,m,wolf,adult,muscle,#648770,17
40,Wolf_M7,m,wolf,adult,muscle,#648770,17
